location,lat,lon,continent,num
30 nm off Port Elizabeth,-33.7994236,24.9063575,Africa,1
Ain Sokhna,29.6396099,32.3057406,Africa,1
Amitié Beach,44.057308,-64.641656,Africa,1
Boucan Canot,-21.0309795,55.2265631,Africa,1
Brothers' Island,44.62533975,-76.31670616,Africa,1
Buffels Bay near Knysna,-34.035734,23.048485,Africa,1
Cap Homard,-21.0331104,55.221135,Africa,1
Chintsa East Beach,-32.8264078,28.1187685,Africa,1
Durban,-29.861825,31.009909,Africa,1
Dyer Island,44.49765965,-67.80864631,Africa,1
"East Beach, Port Alfred",-33.6011399,26.9010924,Africa,1
East London,-33.0191604,27.8998573,Africa,1
Eastmoor Crescent Beach,42.408109,-70.991414,Africa,1
English Bay,59.3547222,-10.2612304,Africa,1
"Floridana Beach, Brevard County",27.9462734,-80.4970188,Africa,1
Gars Garabulli,48.154537,12.279507,Africa,1
Jeffrey's Bay,-34.0511596,24.91939028,Africa,1
"Keurbooms, Plettenberg Bay",51.220335,7.956622,Africa,2
L'Hermitage Lagoon,-31.7399627,101.5933924,Africa,1
Le Goulet,47.7053428,-64.7155661,Africa,1
"Lookout Beach, Plettenberg Bay",51.220335,7.956622,Africa,1
Marsa Alam,25.069992,34.893817,Africa,2
Marsa Alam,25.069992,34.893817,Africa,2
Marsa Ghalib,25.5567175,34.5862329,Africa,1
"Maxixe, Inhambane Bay",-23.804258,35.4194167,Africa,2
Mpande,-9.393533,31.6756315,Africa,1
Mtunzini,-28.955733,31.7565591,Africa,1
"Nahaduga, Inhambane Bay",-23.865,35.38333,Africa,1
Nahoon Beach,-32.985782,27.9482996,Africa,4
Pointe au Sal,47.057261,-65.000575,Africa,1
Port St. John's,47.5704669,-52.69777,Africa,1
Ravine Mula,-22.33756,166.927968,Africa,1
"Robberg Beach, Plettenberg Bay",-34.0760611,23.3693361,Africa,2
Roches Noire,-20.11111,57.71222,Africa,1
Ryspunt,-34.60931,20.32919,Africa,1
Saint Leu,-21.167769,55.2881932,Africa,1
Sainte-Rose at the mouth of Riviere de l'Est,-38.6537179,42.8671369,Africa,1
